DatasetName,GroupName,HDF5FileName,SingletonValue,DatasetSize,DatasetShape,DatasetDatatype
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,1.5418085023632517e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,1.541808502568716e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,-0.32997158203125,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,-0.06351783447265626,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,1080,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,51.39352035522461,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,4.143595829926198,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,2.8547861109367383,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,NA,2048,"(2048,)",NA
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,NA,2211840,"(1080, 2048)",NA
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,1541808502512750225,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityAvg,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,4.1435956954956055,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityHistogram,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,NA,1000,"(1000,)",NA
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensityRMS,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,62929.60484619302,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/intensitySigma,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,46.40354919433594,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/pixelSize,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,1.0,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAmp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,26.2578125,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjAvg,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,4.1435958297164355,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjSigma,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,2.2680880509921564,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/verProjection,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,NA,1080,"(1080,)",NA
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/width,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,1541808518535000000_160_1.h5,2048,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/delayTime,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,1541808518535000000_160_1.h5,750.0,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/exposureTime,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,1541808518535000000_160_1.h5,10000.0,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/gain,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,1541808518535000000_160_1.h5,36,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings/triggerMode,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/PublishedSettings,1541808518535000000_160_1.h5,b'On',1,"(1,)",|S2
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,1.5418085239248727e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/beamSize,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,1.5418085230882665e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogX,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,-0.0024735684374999995,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/cogY,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,0.00030328874999999996,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/height,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,2048,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,17.7216796875,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,5.086805932315779,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,3.3956414342039833,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/horProjection,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,NA,2592,"(2592,)",NA
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageRawData,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,NA,5308416,"(2048, 2592)",NA
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/imageTimeStamp,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,1541808524074872616,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityAvg,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,5.086805820465088,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityHistogram,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,NA,1000,"(1000,)",NA
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensityRMS,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,108639.52316237401,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/intensitySigma,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,10.453468322753906,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/pixelSize,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,0.0048,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAmp,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,18.706790924072266,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjAvg,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,5.086805935832672,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjSigma,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,3.8776845625733056,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/verProjection,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,NA,2048,"(2048,)",NA
/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage/width,/AwakeEventData/BOVWA.01TCV4.CAM8/ExtractionImage,1541808518535000000_160_1.h5,2592,1,"(1,)",int32
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/delayTime,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,1541808518535000000_160_1.h5,800.0,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/exposureTime,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,1541808518535000000_160_1.h5,2500.0,1,"(1,)",float64
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/gain,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,1541808518535000000_160_1.h5,136,1,"(1,)",int64
/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings/triggerMode,/AwakeEventData/BOVWA.01TCV4.CAM8/PublishedSettings,1541808518535000000_160_1.h5,b'On',1,"(1,)",|S2
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,1.5418085239247524e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/beamSize,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,1.5418085241146819e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogX,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,-0.02261234130859375,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/cogY,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,0.04721525573730469,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/height,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,960,1,"(1,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,226.39999389648438,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,28.45781409777701,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,35.27178916143412,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/horProjection,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,NA,1280,"(1280,)",NA
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageRawData,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,NA,1228800,"(960, 1280)",NA
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/imageTimeStamp,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,1541808524074752401,1,"(1,)",int64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityAvg,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,28.457813262939453,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityHistogram,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,NA,1000,"(1000,)",NA
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensityRMS,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,12772.268060763523,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/intensitySigma,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,111.79792022705078,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/pixelSize,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,1.0,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAmp,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,168.45468139648438,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjAvg,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,28.457814121246336,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjSigma,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,30.774411185727605,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/verProjection,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,NA,960,"(960,)",NA
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage/width,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/ExtractionImage,1541808518535000000_160_1.h5,1280,1,"(1,)",int32
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/delayTime,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,1541808518535000000_160_1.h5,4500.0,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/exposureTime,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,1541808518535000000_160_1.h5,100.0,1,"(1,)",float64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/gain,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,1541808518535000000_160_1.h5,300,1,"(1,)",int64
/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings/triggerMode,/AwakeEventData/BOVWA.02TCC4.AWAKECAM02/PublishedSettings,1541808518535000000_160_1.h5,b'On',1,"(1,)",|S2
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1.5418085239248727e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/beamSize,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1.5418085230383665e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogX,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,-0.029136211395263675,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/cogY,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,0.01999381046295166,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/height,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1200,1,"(1,)",int32
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,28.43000030517578,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,0.3164396725323362,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1.9165804640883426,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/horProjection,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,NA,1920,"(1920,)",NA
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageRawData,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,NA,2304000,"(1200, 1920)",NA
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/imageTimeStamp,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1541808524074872616,1,"(1,)",int64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityAvg,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,0.3164396584033966,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityHistogram,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,NA,1000,"(1000,)",NA
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensityRMS,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,72715.85089876897,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/intensitySigma,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,17.017656326293945,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/pixelSize,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,0.0275,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAmp,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,23.032812118530273,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjAvg,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,0.31643967006665963,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjSigma,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1.6217028072599189,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/verProjection,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,NA,1200,"(1200,)",NA
/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage/width,/AwakeEventData/BOVWA.02TSG40.CAM7/ExtractionImage,1541808518535000000_160_1.h5,1920,1,"(1,)",int32
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/delayTime,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,1541808518535000000_160_1.h5,650.0,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/exposureTime,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,1541808518535000000_160_1.h5,40.0,1,"(1,)",float64
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/gain,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,1541808518535000000_160_1.h5,0,1,"(1,)",int64
/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings/triggerMode,/AwakeEventData/BOVWA.02TSG40.CAM7/PublishedSettings,1541808518535000000_160_1.h5,b'On',1,"(1,)",|S2
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,1.5418085239248727e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/beamSize,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,1.5418085241291443e+18,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogX,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,-0.004984783620019531,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/cogY,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,0.0028993990685546875,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/height,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,1200,1,"(1,)",int32
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,322.1199951171875,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,83.87954943875472,1,"(1,)",float64
/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.03TT41.CAM3/ExtractionImage,1541808518535000000_160_1.h5,93.77658915563876,1,"(1,)",float64
